Team,Division,Conference,City,RosterUrl,TeamImageUrl
Bills,AFC-East,AFC,"Buffalo, NY",http://www.buffalobills.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/bills.png
Dolphins,AFC-East,AFC,"Miami, FL",http://www.miamidolphins.com/team/player-roster.html,https://cpt.azureedge.net/NFLTeamImages/dolphins.png
Jets,AFC-East,AFC,"East Rutherford, NJ",http://www.newyorkjets.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/jets.png
Patriots,AFC-East,AFC,"Foxboro, MA",http://www.patriots.com/team/roster,https://cpt.azureedge.net/NFLTeamImages/patriots.png
Bengals,AFC-North,AFC,"Cincinnati, OH",http://www.bengals.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/bengals.png
Browns,AFC-North,AFC,"Cleveland, OH",http://www.clevelandbrowns.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/browns.png
Ravens,AFC-North,AFC,"Baltimore, MD",http://www.baltimoreravens.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/ravenss.png
Steelers,AFC-North,AFC,"Pittsburg, PA",http://www.steelers.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/steelers.png
Colts,AFC-South,AFC,"Indianapolis, IN",http://www.colts.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/colts.png
Jaguars,AFC-South,AFC,"Jacksonville, FK",http://www.jaguars.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/jaguars.png
Texans,AFC-South,AFC,"Houston, TX",http://www.houstontexans.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/texans.png
Titans,AFC-South,AFC,"Nashville, TN",http://www.titansonline.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/titans.png
Broncos,AFC-West,AFC,"Denver, CO",http://www.denverbroncos.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/broncos.png
Chargers,AFC-West,AFC,"San Diego, CA",http://www.chargers.com/team/roster,https://cpt.azureedge.net/NFLTeamImages/chargers.png
Chiefs,AFC-West,AFC,"Kansas City, MO",http://www.chiefs.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/chiefs.png
Raiders,AFC-West,AFC,"Oakland, CA",http://www.raiders.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/raiders.png
Eagles,NFC-East,NFC,"Philadelphia, PA",http://www.philadelphiaeagles.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/eagles.png
Giants,NFC-East,NFC,"East Rutherford, NJ",http://www.giants.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/giants.png
Redskins,NFC-East,NFC,"Washington, DC",http://www.redskins.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/redskins.png
Cowboys,NFC-East,NFC,"Dallas, TX",http://www.dallascowboys.com/team/roster,https://cpt.azureedge.net/NFLTeamImages/cowboys.png
Bears,NFC-North,NFC,"Chicago, IL",http://www.chicagobears.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/bears.png
Lions,NFC-North,NFC,"Detroit, MI",http://www.detroitlions.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/lions.png
Packers,NFC-North,NFC,"Green Bay, WI",http://www.packers.com/team/players.html,https://cpt.azureedge.net/NFLTeamImages/packers.png
Vikings,NFC-North,NFC,"Minneapolis , MN",http://www.vikings.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/vikingss.png
Buccaneers,NFC-South,NFC,"Tampa, FL",http://www.buccaneers.com/team-and-stats/roster.html,https://cpt.azureedge.net/NFLTeamImages/bucs.png
Falcons,NFC-South,NFC,"Atlanta, GA",http://www.atlantafalcons.com/team/player-roster.html,https://cpt.azureedge.net/NFLTeamImages/falconss.png
Panthers,NFC-South,NFC,"Charlotte, NC",http://www.panthers.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/panthers.png
Saints,NFC-South,NFC,"New Orleans, LA",http://www.neworleanssaints.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/saints.png
49ers,NFC-West,NFC,"San Francisco, CA",http://www.49ers.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/49ers.png
Cardinals,NFC-West,NFC,"Glendale, AZ",http://www.azcardinals.com/roster/player-roster.html,https://cpt.azureedge.net/NFLTeamImages/cardinals.png
Rams,NFC-West,NFC,"St. Louis, MO",http://www.therams.com/team/roster.html,https://cpt.azureedge.net/NFLTeamImages/rams.png
Seahawks,NFC-West,NFC,"Seattle, WA",http://www.seahawks.com/team/roster,https://cpt.azureedge.net/NFLTeamImages/seahawks.png
